Specification,ErpId,TaxRateCd,StorageModeName,,Unit,Name,BasicUnitCd,,SupplierName,Id,SupplierCd,Cd,ConversionNumerator,ConversionDenominator,TargetUnit,BackgroundClassificationId,ShowUnitName,BackgroundClassificationName,TaxRateName,,BasicUnitName,,SupplierId,SalesUnitName,SalesUnitCd
 ,161116,SL07_SYS,干货,,个,吸财兽,6,,四川寒容达贸易有限公司,02d4116c-95c4-4e3b-aec7-d5a1e6c295c3,207,260100304,1,1,6,2601,个,定制软装,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
1.5kg/袋,161970,SL63_SYS,冻货,,袋,厨仁麻辣嫩牛肉1.5kg,4,,四川煮饭自然馋贸易有限公司,054b454f-5a21-43cb-ba23-2a7c06a20335,208,200100671,1,1,4,2001,袋,牛肉,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,袋,4
150g/盒,161504,SL02_SYS,冻货,,盒,蜀大侠大刀腰片150g,8,,四川煮饭自然馋贸易有限公司,07ec95c4-760e-46b9-9e2b-2934766ac702,208,200200156,1,1,8,2002,盒,猪肉,13%增值税,,盒,,5e30996b-ec2a-4410-a317-c64856a48b2e,盒,8
直径140cm,115380,SL07_SYS,干货,,张,大侠-火锅圆桌1400-B款(常规款),18,,四川群蓉达贸易有限公司,0243270f-fdbd-4dfe-8452-85907a9f93c5,201,260100049,1,1,18,2601,张,定制软装,3%增值税,,张,,d2092eb5-1736-4cd7-85b3-43a379b38ff1,张,18
60个/件,161178,SL07_SYS,干货,,个,纹路长方盘(带logo),6,,四川寒容达贸易有限公司,035cd7c0-9101-4116-93ea-24f97e37ada7,207,280300986,1,1,6,2803,个,餐具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
XL,161153,SL07_SYS,干货,,套,小龙坎厨师长服2017新冬装XL（上衣+裤子）,14,,四川寒容达贸易有限公司,037ca39e-9036-49e7-9d42-cb0700b73e6d,207,280201109,1,1,14,2802,套,服装服饰,3%增值税,,套,,da1413ba-0221-4656-bfff-ec7dceaf47cd,套,14
L,114364,SL07_SYS,干货,,套,宝蓝色西装两件套-女L,14,,四川寒容达贸易有限公司,02f7326a-ad56-41db-9c8e-d75d93ba13a2,207,280200044,1,1,14,2802,套,服装服饰,3%增值税,,套,,da1413ba-0221-4656-bfff-ec7dceaf47cd,套,14
44*34*34cm,149789,SL02_SYS,干货,,台,手动封碗机44cm*34cm*34cm,13,,四川煮饭自然馋贸易有限公司,0203dfca-2f72-4db4-a044-4d6cbbd285d5,208,270100506,1,1,13,2701,台,厨房设备,13%增值税,,台,,5e30996b-ec2a-4410-a317-c64856a48b2e,台,13
800套/箱,114781,SL07_SYS,干货,,800套/箱,冒大仙餐具包2021款,14,,四川寒容达贸易有限公司,02d57081-a4e3-4191-8dc9-081c82eeaed8,207,280400116,1,1,14,2804,箱,易耗用品,3%增值税,,套,,da1413ba-0221-4656-bfff-ec7dceaf47cd,800套/箱,800套/箱
 ,170159,SL07_SYS,干货,,批,热水器(蜀大侠锦门直通),20,,四川群蓉达贸易有限公司,05b2e1bd-083e-4359-a380-6405dea65895,201,290100544,1,1,20,2901,批,直通商品（专用）,3%增值税,,批,,d2092eb5-1736-4cd7-85b3-43a379b38ff1,批,20
20个/盒,114475,SL07_SYS,干货,,20个/盒,蜀大侠头花,6,,四川寒容达贸易有限公司,08894c03-fdb3-49f8-b74c-3f848579e83b,207,280200154,1,1,6,2802,盒,服装服饰,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,20个/盒,20个/盒
1kg*10袋/箱,162922,SL02_SYS,冻货,,10袋/箱,楠火锅卤肥肠1kg*10,4,,四川煮饭自然馋贸易有限公司,039bfc46-dd59-4ded-bed9-9712ab50af8f,208,201000382,1,1,4,2010,箱,腌卤品,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/箱,10袋/箱
直径4mm，500g/扎,115006,SL07_SYS,干货,,扎,镀锌铁丝φ4mm(统采),17,,四川寒容达贸易有限公司,05c489a7-8636-4dc5-96dc-880a3389c785,207,280700011,1,1,17,2807,扎,五金杂件,3%增值税,,扎,,da1413ba-0221-4656-bfff-ec7dceaf47cd,扎,17
1kg*12袋/箱,115655,SL63_SYS,冻货,,12袋/箱,自然馋麻辣小郡肝1kg*12,4,,四川煮饭自然馋贸易有限公司,03d1a29d-d55f-4a94-bed8-cf96596c6114,208,200300037,1,1,4,2003,箱,禽肉,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,12袋/箱,12袋/箱
14cm*7.5cm,162021,SL02_SYS,干货,,个,陶瓷圆形水墨碗14cm*7.5cm,6,,四川煮饭自然馋贸易有限公司,035a223a-b6b2-4e5e-8a4c-6eed86693732,208,280300631,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
45*30*15cm,161873,SL02_SYS,干货,,个,恒丰加厚方盆收纳盒45cm*30cm*15cm,6,,四川煮饭自然馋贸易有限公司,03263125-6011-46ea-8dc8-f2097f3cd8a1,208,280100774,1,1,6,2801,个,餐厨用具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
300个/件,161767,SL02_SYS,干货,,个,小龙翻大江密胺小瓷勺,6,,四川煮饭自然馋贸易有限公司,04c8c86c-8653-4435-a62d-e42b53d0a088,208,280300922,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
S,161151,SL07_SYS,干货,,件,小龙坎厨师服冬S,21,,四川寒容达贸易有限公司,06b11d1b-a622-4ab3-8be8-3b726855e03b,207,280201107,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
12.5kg/袋,115229,SL63_SYS,干货,,12.5千克/袋,干辣椒-红太阳12.5kg,23,,四川君乐天达贸易有限公司,09265c98-d098-4711-9fa3-5941be480c42,206,240300004,1,1,23,2403,袋,香辛料,9%增值税,,千克,,2aa441fa-acb0-4636-9c7a-078884c96df3,12.5千克/袋,12.5千克/袋
400g*25袋/箱,115842,SL02_SYS,冻货,,25袋/箱,名佑脆板肉400g*25,4,,四川煮饭自然馋贸易有限公司,03dca352-4a96-4632-bc39-1ff1ea46fc3d,208,201100029,1,1,4,2011,箱,小吃,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,25袋/箱,25袋/箱
"刀柄9.5cm,刀身6cm",114301,SL07_SYS,干货,,把,小刀(统采),1,,四川寒容达贸易有限公司,0675ee87-59c9-4780-94fb-796851e525a8,207,280100143,1,1,1,2801,把,餐厨用具,3%增值税,,把,,da1413ba-0221-4656-bfff-ec7dceaf47cd,把,1
1.5kg/袋,161975,SL63_SYS,冻货,,袋,净菜椰子鸡1.5kg,4,,四川煮饭自然馋贸易有限公司,03fe901b-3037-41b9-b5ab-42354cb70284,208,200300676,1,1,4,2003,袋,禽肉,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,袋,4
100W/220V,114997,SL07_SYS,干货,,个,水果灯220v-充电款(统采),6,,四川群蓉达贸易有限公司,04863638-f137-4cf1-ab9f-3b0dc39ca8a0,201,280700020,1,1,6,2807,个,五金杂件,3%增值税,,个,,d2092eb5-1736-4cd7-85b3-43a379b38ff1,个,6
23.2*12.6*3cm,163813,SL02_SYS,干货,,个,密胺通用蔬菜碟(流通版),6,,四川煮饭自然馋贸易有限公司,03d929a7-1c51-44f5-80bf-86d686a924b6,208,280300271,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
500g*40袋/箱,161455,SL02_SYS,干货,,40袋/箱,袁记白糖500g*40,4,,四川君乐天达贸易有限公司,051a5213-66b2-430f-b076-ea5b18e8d21e,206,240500293,1,1,4,2405,箱,调味品,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,40袋/箱,40袋/箱
3.8L/桶,114929,SL07_SYS,干货,,桶,洗手液3.8L(统采),16,,四川寒容达贸易有限公司,070b7d76-4a6d-431e-a0f8-ee828fcb4e25,207,280500033,1,1,16,2805,桶,清洁工具,3%增值税,,桶,,da1413ba-0221-4656-bfff-ec7dceaf47cd,桶,16
60g*100包/箱,115072,SL02_SYS,干货,,100包/箱,自然馋菌汤包60g*100,2,,四川君乐天达贸易有限公司,094d2d24-9de5-4590-afce-64a3e2212866,206,220300009,1,1,2,2203,箱,菌汤膏,13%增值税,,包,,2aa441fa-acb0-4636-9c7a-078884c96df3,100包/箱,100包/箱
4000袋/箱,114808,SL07_SYS,干货,,4000袋/箱,蜀大侠湿纸巾,4,,四川寒容达贸易有限公司,041f9736-a9f1-49a4-b796-c835385d873a,207,280400154,1,1,4,2804,箱,易耗用品,3%增值税,,袋,,da1413ba-0221-4656-bfff-ec7dceaf47cd,4000袋/箱,4000袋/箱
3XL,161399,SL07_SYS,干货,,件,醉码头服务员长袖卫衣-3XL,21,,四川寒容达贸易有限公司,06c4829f-af32-4891-baa2-f4240ee1decd,207,280200352,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
1kg*20袋/箱,166144,SL02_SYS,干货,,20袋/箱,蜀大侠牛油底料1kg*20(3.0版),4,,四川君乐天达贸易有限公司,049e7d35-a9e3-4964-9584-7ff10ce219e0,206,210100068,1,1,4,2101,箱,品牌方底料,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,20袋/箱,20袋/箱
